calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
context_adaptive,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,gate_planes_resnet18,0.9151257181537812,0.9042543353094928,0.6147765917688118,0.8824830057045369,0.849562145618824,0.8022976611576149,0.7266642488263374,0.5877931411437782,0.3629220152994837,0.11358925181370712,0.003074394660561391,5297,1,5297,0.0,1000011.6890030081,110735.14701721433
context_adaptive,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,gate_planes_resnet18,0.9151257181537812,0.9042543353094928,0.6147765917688118,0.8824830057045369,0.849562145618824,0.8022976611576149,0.7266642488263374,0.5877931411437782,0.3629220152994837,0.11358925181370712,0.003074394660561391,5297,1,5297,0.05,1000011.6890030081,110735.14701721433
context_adaptive,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,gate_planes_resnet18,0.9151257181537812,0.9042543353094928,0.6147765917688118,0.8824830057045369,0.849562145618824,0.8022976611576149,0.7266642488263374,0.5877931411437782,0.3629220152994837,0.11358925181370712,0.003074394660561391,5297,1,5297,0.1,1000011.6890030081,110735.14701721433
context_adaptive,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,gate_planes_resnet18,0.9151257181537812,0.9042543353094928,0.6147765917688118,0.8824830057045369,0.849562145618824,0.8022976611576149,0.7266642488263374,0.5877931411437782,0.3629220152994837,0.11358925181370712,0.003074394660561391,5297,1,5297,0.15000000000000002,1000011.6890030081,110735.14701721433
context_adaptive,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,gate_planes_resnet18,0.9151257181537812,0.9042543353094928,0.6147765917688118,0.8824830057045369,0.849562145618824,0.8022976611576149,0.7266642488263374,0.5877931411437782,0.3629220152994837,0.11358925181370712,0.003074394660561391,5297,1,5297,0.2,1000011.6890030081,110735.14701721433
context_adaptive,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,gate_planes_resnet18,0.9151257181537812,0.9042543353094928,0.6147765917688118,0.8824830057045369,0.849562145618824,0.8022976611576149,0.7266642488263374,0.5877931411437782,0.3629220152994837,0.11358925181370712,0.003074394660561391,5297,1,5297,0.25,1000011.6890030081,110735.14701721433
context_adaptive,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,gate_planes_resnet18,0.9151257181537812,0.9042543353094928,0.6147765917688118,0.8824830057045369,0.849562145618824,0.8022976611576149,0.7266642488263374,0.5877931411437782,0.3629220152994837,0.11358925181370712,0.003074394660561391,5297,1,5297,0.30000000000000004,1000011.6890030081,110735.14701721433
context_adaptive,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,gate_planes_resnet18,0.9151257181537812,0.9042543353094928,0.6147765917688118,0.8824830057045369,0.849562145618824,0.8022976611576149,0.7266642488263374,0.5877931411437782,0.3629220152994837,0.11358925181370712,0.003074394660561391,5297,1,5297,0.35000000000000003,1000011.6890030081,110735.14701721433
context_adaptive,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,gate_planes_resnet18,0.9151257181537812,0.9042543353094928,0.6147765917688118,0.8824830057045369,0.849562145618824,0.8022976611576149,0.7266642488263374,0.5877931411437782,0.3629220152994837,0.11358925181370712,0.003074394660561391,5297,1,5297,0.4,1000011.6890030081,110735.14701721433
context_adaptive,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,gate_planes_resnet18,0.9151257181537812,0.9042543353094928,0.6147765917688118,0.8824830057045369,0.849562145618824,0.8022976611576149,0.7266642488263374,0.5877931411437782,0.3629220152994837,0.11358925181370712,0.003074394660561391,5297,1,5297,0.45,1000011.6890030081,110735.14701721433
