bucket,calibration,filter_rate,gate,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_classes,n_gt_tiles,n_tiles,skipped,stratum,threshold
JL,temperature,0.916205533596838,real,0.6909090909090909,gate_planes_resnet18_temperature,0.49936018848190233,0.4984198096603455,0.2604470221315581,0.4555483627950603,0.419224104746707,0.33302167091595986,0.24891397055799805,0.11582959329538943,0.029303394707310866,0.004849126154908252,0.0,1,1265,1265,,imagesource,0.1
unknown,temperature,,real,,gate_planes_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.1
GF,temperature,0.9846153846153847,real,0.5384615384615384,gate_planes_resnet18_temperature,0.8302163549688302,0.8196333369600697,0.5635061825581864,0.8196333369600697,0.7909367859862909,0.7680724803249556,0.7334031480071085,0.530792227762365,0.3104109352487639,0.030163039345409193,0.0018001800180018003,1,715,715,,imagesource,0.15000000000000002
GoogleEarth,temperature,0.7874585468797106,real,0.9435483870967742,gate_planes_resnet18_temperature,0.8967841272403514,0.8861446177674949,0.6174030579863143,0.865128067003648,0.8421368679125663,0.8069285745616546,0.744674537782986,0.6160423811875473,0.3880074686963189,0.12509389224433798,0.0030900454662390517,1,3317,3317,,imagesource,0.15000000000000002
JL,temperature,0.9359683794466404,real,0.6181818181818182,gate_planes_resnet18_temperature,0.4300760706023459,0.4209770370687456,0.23009992603323423,0.3978763767040644,0.36239491251893713,0.3097085509995305,0.22482785808732053,0.11793434558139736,0.032178271316603384,0.005025837453398228,0.0,1,1265,1265,,imagesource,0.15000000000000002
unknown,temperature,,real,,gate_planes_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.15000000000000002
GF,temperature,0.986013986013986,real,0.5384615384615384,gate_planes_resnet18_temperature,0.8302163549688302,0.8196333369600697,0.5635061825581864,0.8196333369600697,0.7909367859862909,0.7680724803249556,0.7334031480071085,0.530792227762365,0.3104109352487639,0.030163039345409193,0.0018001800180018003,1,715,715,,imagesource,0.2
GoogleEarth,temperature,0.796804341272234,real,0.9370967741935484,gate_planes_resnet18_temperature,0.8967051493523456,0.8861246056425542,0.6166091940660037,0.8651182935691926,0.8420653857000462,0.7987117334202496,0.7448212361524352,0.6162543158799522,0.38809113894181974,0.1251100365352026,0.0030900454662390517,1,3317,3317,,imagesource,0.2
JL,temperature,0.9430830039525692,real,0.6181818181818182,gate_planes_resnet18_temperature,0.4300760706023459,0.4209770370687456,0.23009992603323423,0.3978763767040644,0.36239491251893713,0.3097085509995305,0.22482785808732053,0.11793434558139736,0.032178271316603384,0.005025837453398228,0.0,1,1265,1265,,imagesource,0.2
unknown,temperature,,real,,gate_planes_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.2
