epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
29,7881.37,0.74241,0.57099,1.33881,0.04419,0.95171,0.91987,0.96365,0.85147,0.51864,0.7285,0.94253,0.0352,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,8164.05,0.72488,0.5579,1.32565,0.04118,0.9525,0.92063,0.96881,0.85878,0.52128,0.74878,0.91828,0.04192,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,8439.05,0.71421,0.54104,1.32263,0.04042,0.95669,0.92038,0.97016,0.85852,0.52345,0.73783,0.93528,0.04066,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,8724.93,0.72131,0.56144,1.32598,0.04093,0.95241,0.92813,0.96983,0.85798,0.52044,0.87418,0.94189,0.03704,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,8980.47,0.71394,0.53863,1.3195,0.04043,0.95594,0.92157,0.9686,0.86315,0.52206,0.67929,0.93879,0.03405,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,9236.85,0.70831,0.54396,1.31784,0.03977,0.95427,0.92463,0.97207,0.86809,0.51761,0.75427,0.92592,0.03656,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,9508.32,0.69837,0.52426,1.30463,0.03989,0.95443,0.92792,0.97122,0.86652,0.51508,0.66463,0.9212,0.03646,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,9770.89,0.69762,0.52971,1.30036,0.03924,0.95811,0.92628,0.97146,0.86678,0.51501,0.71258,0.93093,0.03406,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,10022.6,0.68713,0.52371,1.29292,0.03621,0.95603,0.92643,0.96967,0.86747,0.5098,0.698,0.921,0.03108,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,10336.5,0.68104,0.50874,1.29183,0.03571,0.96164,0.92119,0.97028,0.8656,0.51507,0.70779,0.93443,0.03229,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,10600.1,0.67027,0.50051,1.29012,0.03491,0.95604,0.92672,0.97143,0.8688,0.51264,0.6777,0.93101,0.03318,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,10867.4,0.67712,0.50442,1.28546,0.03584,0.95991,0.92213,0.97206,0.87075,0.50626,0.60767,0.92311,0.03135,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,11130,0.6237,0.46296,1.28855,0.03757,0.95694,0.92604,0.97106,0.87209,0.51335,0.59214,0.92555,0.04034,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,11435.7,0.61775,0.45888,1.29882,0.03216,0.95629,0.92402,0.97042,0.87048,0.51532,0.64883,0.92291,0.03825,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,11791.6,0.59281,0.43254,1.26761,0.03072,0.95841,0.92103,0.97002,0.87071,0.51794,0.62869,0.92762,0.03293,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,12147.4,0.60504,0.4289,1.26761,0.03167,0.95723,0.92403,0.97001,0.87125,0.51387,0.61969,0.92358,0.03442,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,12468.6,0.58978,0.41619,1.25687,0.02985,0.9587,0.92308,0.9689,0.87183,0.50896,0.60225,0.922,0.03608,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,12804.5,0.57219,0.4131,1.24843,0.028,0.95482,0.92421,0.96855,0.87299,0.50802,0.5986,0.91978,0.03454,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,13119.4,0.57053,0.41456,1.2375,0.0291,0.95832,0.92006,0.96739,0.87282,0.50682,0.61968,0.91856,0.0331,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,13436.1,0.57506,0.41768,1.24104,0.02827,0.95939,0.92044,0.96744,0.87276,0.50587,0.63218,0.91916,0.03357,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,13765.5,0.56758,0.40397,1.23514,0.02818,0.95786,0.92149,0.96721,0.87303,0.49796,0.62298,0.91632,0.03431,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,14100.9,0.54969,0.38253,1.20231,0.02533,0.96065,0.9206,0.96688,0.87274,0.48631,0.60799,0.90958,0.03294,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
