epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
29,7516.95,0.87882,0.61924,1.02599,0.02312,0.94803,0.84176,0.91444,0.73889,0.69325,1.92655,0.78139,0.01475,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,7765.48,0.87766,0.62401,1.02621,0.02405,0.94451,0.84162,0.91204,0.74347,0.68232,1.90441,0.7638,0.01538,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,8013.25,0.85399,0.59666,1.01034,0.02146,0.94521,0.84025,0.91216,0.74471,0.68178,1.56734,0.76013,0.01414,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,8266.72,0.86227,0.5942,1.01077,0.02161,0.93962,0.84448,0.91423,0.74344,0.69655,1.58447,0.76053,0.01461,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,8516.52,0.84784,0.60104,1.01393,0.02138,0.94458,0.84422,0.91505,0.74726,0.69293,1.32597,0.77303,0.01345,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,8764.28,0.84437,0.58668,1.00857,0.02198,0.94885,0.84306,0.91381,0.74284,0.68892,1.39104,0.77561,0.01334,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,9012.06,0.84666,0.59216,1.01185,0.02148,0.94678,0.84572,0.9164,0.74506,0.68528,1.62415,0.76774,0.01424,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,9261.9,0.84222,0.58221,1.00262,0.02129,0.94383,0.84835,0.91627,0.74834,0.66527,1.52586,0.75532,0.0137,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,9511.35,0.82565,0.56669,0.99978,0.02068,0.94422,0.84875,0.91661,0.74783,0.67889,1.55849,0.76009,0.0138,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,9759.29,0.80717,0.55094,0.99211,0.01995,0.94035,0.85279,0.91797,0.74969,0.67462,1.46091,0.75829,0.01532,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,10008.7,0.81021,0.55583,0.98471,0.0198,0.94718,0.84719,0.9175,0.74864,0.682,1.56971,0.76361,0.01343,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,10256.3,0.81634,0.55561,0.99533,0.01993,0.94814,0.84506,0.91765,0.75061,0.66927,1.40046,0.75809,0.01449,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,10504.2,0.83401,0.59584,1.02816,0.01819,0.94279,0.84788,0.91878,0.75465,0.6749,1.29395,0.76372,0.01356,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,10748.6,0.82461,0.58033,1.02302,0.01766,0.94095,0.85018,0.91889,0.75467,0.6889,1.24282,0.7706,0.01409,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,10993.2,0.80441,0.56019,1.01312,0.01755,0.94393,0.84979,0.91974,0.75462,0.67733,1.17892,0.7666,0.01335,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,11237.4,0.80434,0.57123,1.01274,0.01686,0.94547,0.84862,0.91976,0.7543,0.67507,1.20924,0.76538,0.01266,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,11480,0.78221,0.56123,1.00912,0.01515,0.94629,0.84702,0.91965,0.75483,0.66793,1.20806,0.76246,0.01323,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,11724.4,0.77436,0.52482,1.00325,0.01596,0.94231,0.85044,0.91956,0.75436,0.66807,1.24515,0.7647,0.01324,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,11967.8,0.78179,0.52196,1.00219,0.01662,0.94634,0.84788,0.9202,0.7555,0.67039,1.18374,0.76531,0.01331,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,12212.3,0.75546,0.50984,0.98033,0.01545,0.94889,0.84593,0.92024,0.75558,0.67544,1.17219,0.76661,0.01528,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,12456.2,0.74639,0.49849,0.98589,0.01522,0.9478,0.84744,0.92013,0.75675,0.67481,1.19317,0.76492,0.0159,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,12699.8,0.74842,0.51835,0.98928,0.01517,0.94921,0.84699,0.91991,0.75719,0.6716,1.17534,0.76409,0.01568,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
