bucket,calibration,filter_rate,gate,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_classes,n_gt_tiles,n_tiles,skipped,stratum,threshold
GF,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,715,715,,imagesource,0.35000000000000003
GoogleEarth,temperature,0.4917093759421164,real,0.8764553686934023,gate_small_vehicle_resnet18_temperature,0.45654388480532027,0.43280264110198463,0.20532732648267676,0.3943835632233908,0.33056876643974864,0.23698669040980816,0.13531545480289783,0.05317765402049781,0.01215439486570095,0.0013201320132013201,2.008314421705862e-05,1,3317,3317,,imagesource,0.35000000000000003
JL,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,1265,1265,,imagesource,0.35000000000000003
unknown,temperature,,real,,gate_small_vehicle_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.35000000000000003
GF,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,715,715,,imagesource,0.4
GoogleEarth,temperature,0.5236659632197769,real,0.8428201811125485,gate_small_vehicle_resnet18_temperature,0.4567451007873786,0.4329123521463473,0.20436148175065255,0.389333511698161,0.3259826186189984,0.23687917302798675,0.13515553795633597,0.05311143204465551,0.012154876069243297,0.0013201320132013201,2.008314421705862e-05,1,3317,3317,,imagesource,0.4
JL,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,1265,1265,,imagesource,0.4
unknown,temperature,,real,,gate_small_vehicle_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.4
GF,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,715,715,,imagesource,0.45
GoogleEarth,temperature,0.5465782333433826,real,0.8124191461836999,gate_small_vehicle_resnet18_temperature,0.45007605275510054,0.4266082740907041,0.20287132735698182,0.388647982617813,0.32543878183006675,0.23642231875927752,0.13503491116204075,0.052979464463548134,0.012165272733848887,0.0013201320132013201,2.008314421705862e-05,1,3317,3317,,imagesource,0.45
JL,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,1265,1265,,imagesource,0.45
unknown,temperature,,real,,gate_small_vehicle_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.45
GF,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,715,715,,imagesource,0.5
GoogleEarth,temperature,0.5703949351823937,real,0.7884864165588615,gate_small_vehicle_resnet18_temperature,0.4490180179876946,0.42559348673497616,0.20238249333548186,0.3876629279798725,0.32461811955679865,0.23589756899053535,0.13469005881285243,0.05284800225028694,0.012156535884383327,0.0013201320132013201,2.008314421705862e-05,1,3317,3317,,imagesource,0.5
JL,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,1265,1265,,imagesource,0.5
unknown,temperature,,real,,gate_small_vehicle_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.5
GF,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,715,715,,imagesource,0.55
GoogleEarth,temperature,0.5954175459752789,real,0.7535575679172057,gate_small_vehicle_resnet18_temperature,0.44173833122257483,0.41858061497171617,0.19872451124107607,0.38111721337423815,0.31865015091565124,0.23109254385592384,0.13153547504288637,0.05104670700408037,0.012143860866271288,0.0013201320132013201,2.008314421705862e-05,1,3317,3317,,imagesource,0.55
JL,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,1265,1265,,imagesource,0.55
unknown,temperature,,real,,gate_small_vehicle_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.55
GF,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,715,715,,imagesource,0.6000000000000001
GoogleEarth,temperature,0.6110943623756406,real,0.7315653298835705,gate_small_vehicle_resnet18_temperature,0.4413907510685475,0.418180063121708,0.1984546020131716,0.380680840939696,0.3182742880214783,0.2305989110531341,0.13113204739473927,0.0507532909537195,0.012101028014081163,0.0014144271570014143,2.0372407611131484e-05,1,3317,3317,,imagesource,0.6000000000000001
JL,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,1265,1265,,imagesource,0.6000000000000001
unknown,temperature,,real,,gate_small_vehicle_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.6000000000000001
GF,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,715,715,,imagesource,0.65
GoogleEarth,temperature,0.6321977690684353,real,0.7011642949547219,gate_small_vehicle_resnet18_temperature,0.4408625374593437,0.41766068281548263,0.19803669929366113,0.3800518686585193,0.3176071064766269,0.2300854069255625,0.13061533227156968,0.05052690389706385,0.011413341007441445,0.0015232292460015233,2.0584179000020584e-05,1,3317,3317,,imagesource,0.65
JL,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,1265,1265,,imagesource,0.65
unknown,temperature,,real,,gate_small_vehicle_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.65
GF,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,715,715,,imagesource,0.7000000000000001
GoogleEarth,temperature,0.655110039192041,real,0.6688227684346701,gate_small_vehicle_resnet18_temperature,0.43483378033814263,0.4115755380369437,0.1955027697576422,0.37423466636084346,0.3119283675584965,0.22930173811785534,0.12990725037685197,0.050228507696315816,0.01134679590970494,0.00165016501650165,2.088816476584367e-05,1,3317,3317,,imagesource,0.7000000000000001
JL,temperature,1.0,real,nan,gate_small_vehicle_resnet18_temperature,0.0,,0.0,,,,,,,,,0,1265,1265,,imagesource,0.7000000000000001
unknown,temperature,,real,,gate_small_vehicle_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.7000000000000001
