epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
29,5320.58,0.92451,0.68148,1.00262,0.02785,0.93691,0.82952,0.89819,0.68717,0.72555,1.48834,0.75339,0.01662,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,5498.02,0.92045,0.68805,1.00477,0.02837,0.9383,0.82687,0.89674,0.68949,0.73179,1.62788,0.75024,0.01768,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,5678.88,0.9034,0.65867,0.99092,0.02648,0.9392,0.81955,0.8957,0.69075,0.71545,2.59322,0.74037,0.01699,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,5867.28,0.90157,0.65941,0.98564,0.02757,0.93639,0.83217,0.89843,0.68298,0.69346,1.58399,0.7303,0.01631,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,6051.57,0.90515,0.66677,0.99413,0.02651,0.93697,0.82856,0.89977,0.69423,0.70455,1.41696,0.72967,0.01712,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,6249.15,0.89268,0.64997,0.98736,0.02631,0.93839,0.8313,0.89957,0.68813,0.72001,1.6384,0.73739,0.01438,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,6440.69,0.8894,0.64844,0.99142,0.02677,0.93845,0.83132,0.90185,0.70031,0.69044,1.5642,0.72684,0.01444,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,6619.38,0.88505,0.64272,0.9847,0.02659,0.94066,0.82368,0.89836,0.6974,0.70276,1.6745,0.73526,0.01506,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,6804.17,0.8726,0.62616,0.97927,0.0253,0.94121,0.83131,0.90131,0.69012,0.7041,1.59068,0.73661,0.01453,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,6993.7,0.85102,0.6066,0.97123,0.02417,0.93798,0.83295,0.90273,0.7,0.70247,1.45524,0.73574,0.0144,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,7173.54,0.85281,0.61237,0.96732,0.0241,0.93539,0.83532,0.90121,0.69529,0.70094,1.4164,0.73352,0.01485,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,7356.29,0.86312,0.61858,0.97815,0.02521,0.93472,0.83872,0.90217,0.69749,0.69944,1.33403,0.73041,0.0165,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,7533.18,0.87398,0.66813,0.99998,0.02275,0.93994,0.83139,0.90204,0.70035,0.7021,1.21959,0.73011,0.01438,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,7707.21,0.87295,0.64522,1.00207,0.02218,0.94005,0.83323,0.90256,0.69872,0.69777,1.15597,0.72547,0.01482,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,7880.05,0.84478,0.63785,0.98837,0.02234,0.94003,0.8333,0.90337,0.70319,0.68911,1.16364,0.72195,0.01484,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,8053.1,0.84967,0.63764,0.98959,0.02087,0.93963,0.8336,0.90336,0.7024,0.69077,1.17232,0.72147,0.01566,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,8224.67,0.83635,0.63434,0.9865,0.01891,0.93792,0.83356,0.90335,0.70331,0.68357,1.15603,0.72057,0.01575,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,8396.97,0.82856,0.60699,0.98589,0.01984,0.93989,0.83386,0.90426,0.70328,0.68572,1.13811,0.7209,0.01581,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,8568.81,0.82081,0.58665,0.97616,0.01952,0.93869,0.83549,0.90385,0.70366,0.6843,1.14319,0.719,0.01555,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,8741.45,0.8013,0.57595,0.96141,0.01974,0.94175,0.83386,0.90418,0.70483,0.68618,1.10492,0.71962,0.01537,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,8912.67,0.7897,0.5541,0.9633,0.0189,0.94101,0.83386,0.90354,0.70546,0.68985,1.1376,0.72089,0.01616,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,9085.1,0.78809,0.56758,0.96715,0.01764,0.93843,0.83525,0.90348,0.70567,0.69428,1.12654,0.72263,0.01458,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
