__source__,bucket,calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_gt_tiles,n_tiles,skipped,stratum,threshold,total_gflops,total_latency_ms
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_platt.json,,platt,293703.62206617603,32821.77745993249,0.6986973758731357,real,25232.186443776005,1802.2176906088134,0.8467011642949547,gate_small_vehicle_resnet18,0.45662850910043123,0.43280723489960243,0.2043267147010246,0.3892680000898758,0.3259413249327631,0.23686604524078872,0.13515431004041062,0.05310714099247271,0.01215436655648267,0.0013201320132013201,2.008314421705862e-05,1596,1,,5297,,,0.4,318935.80850995204,34623.995150541305
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_platt.json,,platt,278061.511868416,31073.75046488596,0.7147441948272607,real,25232.186443776005,1802.2176906088134,0.8137128072445019,gate_small_vehicle_resnet18,0.45008197670596006,0.4266183121254799,0.20287401341374883,0.38865136677751333,0.3254438721848044,0.23642698650157357,0.1350297479936482,0.0529826631974481,0.012164993493642308,0.0013201320132013201,2.008314421705862e-05,1511,1,,5297,,,0.45,303293.698312192,32875.968155494775
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_platt.json,,platt,264443.674755072,29551.938728021923,0.7287143666226166,real,25232.186443776005,1802.2176906088134,0.7923673997412678,gate_small_vehicle_resnet18,0.4497426336772194,0.4263085166647972,0.20274626965926373,0.38836984633278526,0.32528268843001185,0.2363184688258439,0.13497478353135509,0.0529625739985704,0.012162969974635507,0.0013201320132013201,2.008314421705862e-05,1437,1,,5297,,,0.5,289675.861198848,31354.156418630737
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_platt.json,,platt,249537.663860736,27886.171826859936,0.744006041155371,real,25232.186443776005,1802.2176906088134,0.7574385510996119,gate_small_vehicle_resnet18,0.4417213679032576,0.41857788805766766,0.1987223080887717,0.3811284127304363,0.3186441869844348,0.2310923444946468,0.131531964543888,0.05104340672432674,0.012143294291640586,0.0013201320132013201,2.008314421705862e-05,1356,1,,5297,,,0.55,274769.850304512,29688.38951746875
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_platt.json,,platt,238496.17430937602,26652.270418591797,0.7553332074759298,real,25232.186443776005,1802.2176906088134,0.7341526520051747,gate_small_vehicle_resnet18,0.4415815737872672,0.418350924450903,0.19860009369921028,0.3809119955735486,0.3184704042876682,0.23088013395327542,0.13136809973904506,0.05095132708971389,0.012146222133864192,0.0013201320132013201,2.0123963615873785e-05,1296,1,,5297,,,0.6000000000000001,263728.360753152,28454.48810920061
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_platt.json,,platt,226718.58545459202,25336.108916439116,0.7674155182178591,real,25232.186443776005,1802.2176906088134,0.705045278137128,gate_small_vehicle_resnet18,0.4409629791508235,0.4177685086372262,0.1981113602212858,0.3801801140753992,0.31776491909337884,0.2302113797358478,0.1306969973112927,0.050568092280455376,0.011416798503433247,0.0015232292460015233,2.0584179000020584e-05,1232,1,,5297,,,0.65,251950.77189836802,27138.32660704793
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_platt.json,,platt,211996.599386112,23690.907038748264,0.782518406645271,real,25232.186443776005,1802.2176906088134,0.6739974126778784,gate_small_vehicle_resnet18,0.43498185566506964,0.4117322047231907,0.19555488316177216,0.374327263987941,0.3119959058301027,0.22939676168171302,0.12995107192723399,0.05021789886631828,0.011340866330628635,0.0015841584158415843,2.0844189682126108e-05,1152,1,,5297,,,0.7000000000000001,237228.78582988802,25493.124729357078
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_platt.json,,platt,196906.56366592,22004.57511411514,0.797998867283368,real,25232.186443776005,1802.2176906088134,0.630012936610608,gate_small_vehicle_resnet18,0.42724665595469963,0.4042659580410317,0.19223202330594558,0.367248243601051,0.31092817186007926,0.22444446346330799,0.12617662923132728,0.04993342559813459,0.010306898254742104,0.0017472335468841002,2.255350819820023e-05,1070,1,,5297,,,0.75,222138.750109696,23806.792804723955
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_platt.json,,platt,179240.180383744,20030.33286088612,0.8161223333962621,real,25232.186443776005,1802.2176906088134,0.5756791720569211,gate_small_vehicle_resnet18,0.41755471847636727,0.3948448070042108,0.18764539453931042,0.35832224285603165,0.3030198213617274,0.21805644591628653,0.12505351718588087,0.047555069594720716,0.0102773807581075,0.0017472335468841002,2.270869288763739e-05,974,1,,5297,,,0.8,204472.36682752002,21832.550551494933
reports/small_vehicle/cascade/gate_small_vehicle_resnet18_platt.json,,platt,161389.772275712,18035.52558418596,0.8344345856144988,real,25232.186443776005,1802.2176906088134,0.5265200517464425,gate_small_vehicle_resnet18,0.39412903050333553,0.3786338105002835,0.17975832827218222,0.34315431394579493,0.2898095558468251,0.21182498589592094,0.1206905651540199,0.047222547061671984,0.01023906603560526,0.0018564356435643563,2.297213480048701e-05,877,1,,5297,,,0.8500000000000001,186621.958719488,19837.743274794775
