calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
identity,975543.2197816321,0.0,0.0,real,2971.04238144,0.0,1.0,gate_sweep_baseball_diamond,0.7611244641987118,0.7275381697589092,0.3986834857141158,0.6977065591302274,0.6119841011670781,0.48245747113151577,0.33781623717806986,0.21717951325271573,0.11916327922990719,0.03162357453063263,0.0002414875633904854,5297,1,5297,0.0,978514.2621630721,0.0
identity,58749.912612864,0.0,0.9397772323956957,real,2971.04238144,0.0,0.7894736842105263,gate_sweep_baseball_diamond,0.6844979618920289,0.6614842778461105,0.36518310652710523,0.6315679306895041,0.5686282779012439,0.4477715489351616,0.31592854867979037,0.2012930815262874,0.11224107836065078,0.02816770146308541,0.00025065797719012406,319,1,5297,0.05,61720.954994304,0.0
identity,53040.673456128,0.0,0.9456296016613177,real,2971.04238144,0.0,0.7559808612440191,gate_sweep_baseball_diamond,0.6669644836756119,0.6441758996452542,0.35878936776939147,0.6222169644239147,0.5605216480594856,0.447026536089733,0.3096630269171076,0.19977080021071178,0.10911595912557019,0.028187701569335973,0.00025065797719012406,288,1,5297,0.1,56011.715837568,0.0
identity,50462.307385344,0.0,0.9482726071361148,real,2971.04238144,0.0,0.7511961722488039,gate_sweep_baseball_diamond,0.6665175739994584,0.6437264628745908,0.35724435085034617,0.6218131264587458,0.5529030437012892,0.44017613744960576,0.3098208742821974,0.19990721625352575,0.10914071393752275,0.028187701569335973,0.00025065797719012406,274,1,5297,0.15000000000000002,53433.349766784,0.0
identity,47699.772309504,0.0,0.9511043987162545,real,2971.04238144,0.0,0.7464114832535885,gate_sweep_baseball_diamond,0.6662964188533409,0.6434296948762588,0.3562723976401064,0.6137499623886488,0.5525473199854216,0.4396756736230059,0.3094227744835987,0.1999981045624417,0.10916566808182089,0.028187701569335973,0.00025065797719012406,259,1,5297,0.2,50670.814690944,0.0
identity,45673.913253888,0.0,0.9531810458750236,real,2971.04238144,0.0,0.7416267942583732,gate_sweep_baseball_diamond,0.6579373675351242,0.6353004862163277,0.35451245200864967,0.6133470860386017,0.5520342001386617,0.43915558706409874,0.3096309496666095,0.2000896598950595,0.109190823985488,0.028187701569335973,0.00025065797719012406,248,1,5297,0.25,48644.955635328,0.0
identity,44937.237233664004,0.0,0.9539361902963942,real,2971.04238144,0.0,0.7416267942583732,gate_sweep_baseball_diamond,0.6581874416355795,0.6355151514825244,0.3546191371638596,0.6135295729181038,0.5522070960538202,0.439294908995299,0.3096999070551162,0.20012810996613967,0.109190823985488,0.028187701569335973,0.00025065797719012406,244,1,5297,0.30000000000000004,47908.279615104,0.0
identity,43463.885193216,0.0,0.9554464791391354,real,2971.04238144,0.0,0.7368421052631579,gate_sweep_baseball_diamond,0.6579520762480232,0.6353126590544854,0.3545484241448547,0.6132491791083773,0.5519335753170613,0.439450773021273,0.3097899859021739,0.2001668092651388,0.109190823985488,0.028187701569335973,0.00025065797719012406,236,1,5297,0.35000000000000003,46434.927574656,0.0
identity,42358.87116288,0.0,0.9565791957711912,real,2971.04238144,0.0,0.7272727272727273,gate_sweep_baseball_diamond,0.6490097134692984,0.6264606067367101,0.3493248390728537,0.6046771028916194,0.5441406497447953,0.43222946115029004,0.3035821131925216,0.19562966238393312,0.10907055110426693,0.028197872077912255,0.00025065797719012406,230,1,5297,0.4,45329.91354432,0.0
identity,41622.195142656,0.0,0.9573343401925618,real,2971.04238144,0.0,0.7272727272727273,gate_sweep_baseball_diamond,0.6490097134692984,0.6264606067367101,0.3493248390728537,0.6046771028916194,0.5441406497447953,0.43222946115029004,0.3035821131925216,0.19562966238393312,0.10907055110426693,0.028197872077912255,0.00025065797719012406,226,1,5297,0.45,44593.237524095995,0.0
identity,40148.843102208004,0.0,0.958844629035303,real,2971.04238144,0.0,0.7177033492822966,gate_sweep_baseball_diamond,0.648481882677687,0.6258895719688017,0.34931635509105663,0.6039792653198052,0.5425657286175977,0.4311092074077086,0.3055997623008246,0.19695634311011653,0.10983060462795695,0.028497313339067267,0.00025387154100025384,218,1,5297,0.5,43119.885483648,0.0
identity,38859.660066816,0.0,0.9601661317727015,real,2971.04238144,0.0,0.7177033492822966,gate_sweep_baseball_diamond,0.648481882677687,0.6258895719688017,0.34931635509105663,0.6039792653198052,0.5425657286175977,0.4311092074077086,0.3055997623008246,0.19695634311011653,0.10983060462795695,0.028497313339067267,0.00025387154100025384,211,1,5297,0.55,41830.702448256,0.0
identity,38122.984046592,0.0,0.9609212761940721,real,2971.04238144,0.0,0.7081339712918661,gate_sweep_baseball_diamond,0.648055696607418,0.6253664864326289,0.3469715348970517,0.5957913040662813,0.5346662109150534,0.423955719437586,0.3059591308333291,0.19726934261380472,0.10988986820296262,0.028507718320452104,0.00025387154100025384,207,1,5297,0.6000000000000001,41094.026428032,0.0
identity,36833.8010112,0.0,0.9622427789314707,real,2971.04238144,0.0,0.6985645933014354,gate_sweep_baseball_diamond,0.6391732141328843,0.6167036107340284,0.3438636171731054,0.5946869348066016,0.5334380107793056,0.4226111251293632,0.29919703510272,0.19580510876795076,0.10835230701800365,0.028414953719195682,0.00025387154100025384,200,1,5297,0.65,39804.843392639996,0.0
identity,36465.463001088,0.0,0.9626203511421559,real,2971.04238144,0.0,0.6985645933014354,gate_sweep_baseball_diamond,0.6391732141328843,0.6167036107340284,0.3438636171731054,0.5946869348066016,0.5334380107793056,0.4226111251293632,0.29919703510272,0.19580510876795076,0.10835230701800365,0.028414953719195682,0.00025387154100025384,198,1,5297,0.7000000000000001,39436.505382528,0.0
